gene,coef_Intercept,coef_diagnosis,coef_age,pval_Intercept,pval_diagnosis,pval_age
'ENCODE_ID_50485',6.953319749446977,-0.2735616509955074,-0.012639363937368264,1.9088943735548317e-28,0.11144878419005674,0.012757674963227368
'ENCODE_ID_107985980',4.704202732493436,0.20083770983527238,0.01900372155503834,6.122277702012837e-15,0.42348497174808164,0.011228644881570429
'ENCODE_ID_117583',4.932837601227281,0.30699303421672003,0.012623787536614592,4.7994929366647704e-21,0.0935436458175297,0.018891286344321127
'ENCODE_ID_5270',7.806453437354311,0.34856096657278135,-0.014549160685156009,4.865052160565301e-30,0.0511280548267471,0.005870462404711832
'ENCODE_ID_100329109',5.099183285188008,0.18574022959495895,0.011126492403347515,3.136643759352109e-24,0.23707863288113604,0.01683982897063869
'ENCODE_ID_92737',8.030040184249298,0.06874121641193942,-0.016467573668863183,3.8045866910021185e-24,0.7805840709514731,0.0248093039629849
'ENCODE_ID_55619',8.58799945058803,-0.05387364714180465,-0.012559461239832728,1.9138977157244944e-33,0.7389024042341703,0.009596584070634587
'ENCODE_ID_200765',6.840489603153102,-0.20278902292685558,-0.014915784661060399,4.866690120479288e-28,0.23753895626348687,0.0038564217080706465
'ENCODE_ID_151174',4.718568180796131,-0.18408531588818258,0.009945869243786978,1.4224356774500918e-23,0.22219241947856716,0.025376726145483478
'ENCODE_ID_112268432',7.037375734657361,-0.07218424234533805,0.010447077179000067,5.263485600655883e-31,0.6309996477604116,0.01956132427512153
'ENCODE_ID_6529',10.043625843745973,0.04878040381361548,-0.015148404592970694,7.05538355813787e-32,0.8117580031499003,0.013415219283576292
'ENCODE_ID_105376964',5.837429156757347,-0.14162509333585754,0.014354685591937977,7.933339094868416e-22,0.4887981729872176,0.01837010839695
'ENCODE_ID_6304',10.42841465235476,-0.24093696946487986,-0.007185490717138976,8.644903029451043e-48,0.014594065656979115,0.012016349576389392
'ENCODE_ID_339834',4.60528677005547,-0.08179391620829624,0.01343267081925846,8.9360019960631e-17,0.706929963989865,0.03704824756693692
'ENCODE_ID_105377642',5.301193359023943,0.12592577290389045,0.016029084990790445,3.3957964602807154e-21,0.5131194256072672,0.005688723856095574
'ENCODE_ID_10675',7.111841676376896,-0.13996201957763388,-0.00919800739948832,2.265743809099378e-32,0.32460985962381406,0.02848646299438665
'ENCODE_ID_10217',8.042906510637499,0.12562726762500342,0.009828342214548286,9.69701381111217e-35,0.37697233534194063,0.019882118676899575
'ENCODE_ID_101928529',5.176334748258858,0.0692874652140067,0.01099359742415193,1.527974476465449e-25,0.6386186974899468,0.012701953245766916
'ENCODE_ID_2912',8.143348517322014,-0.5719463075708395,-0.013112135464807051,6.730534727706885e-35,0.00019445117616868326,0.0024471054458325525
'ENCODE_ID_375341',6.415294064970194,0.22918845184721182,0.017029037249640746,1.5826167714219552e-24,0.2385286371334025,0.00360445110241158
'ENCODE_ID_105377113',5.195030867402664,0.5250192903501916,0.016254025877264926,9.550843340630273e-21,0.008834459128837721,0.005326383255361719
'ENCODE_ID_9223',10.473572547064421,-0.4402842489335932,-0.011727394865420664,2.0258039613961362e-39,0.0038470778151530475,0.007421225868933764
'ENCODE_ID_107986088',6.176740461072219,-0.09287562269017652,0.013479216017789794,1.425580871150732e-22,0.6540901002905679,0.028418472993000446
'ENCODE_ID_6092',9.195143125810475,0.015123016099400477,-0.01096217012639344,3.43039877361488e-39,0.9068690004074489,0.005000578698369268
'ENCODE_ID_56999',6.31346480755932,-0.23760475431652375,-0.01369606300053365,3.540713447337343e-24,0.2234181880731221,0.01775649343943289
'ENCODE_ID_2042',8.072573692437263,-0.025213547448397877,-0.01585869921979738,5.260908012328455e-37,0.8422817651033553,7.327827823688645e-05
'ENCODE_ID_11259',6.937676498704236,-0.10176747594320557,0.00928469789228325,7.070158607463411e-33,0.45014770620844013,0.02039298895337114
'ENCODE_ID_112268455',5.329612980493856,-0.10050718008918813,0.011211311943935074,1.0423275893124618e-25,0.504894072336243,0.012751621656086407
'ENCODE_ID_285359',6.168255803610267,-0.37993652203949024,-0.011562040989128832,3.8677227014753517e-28,0.01600777277624596,0.011585219200944154
'ENCODE_ID_105374054',6.426467701630473,0.0005579576836818312,0.014511274389072388,5.018363452332802e-23,0.9978803717673186,0.02042275320808451
'ENCODE_ID_105374127',4.604904837837603,0.25690430415826,0.013767657407346583,1.890223674661448e-19,0.16856424572835038,0.012770029229836437
'ENCODE_ID_105374181',5.96501435260403,0.5659093055792882,0.01839926098773432,1.6332497215243577e-21,0.010115486269043614,0.004186725976954788
'ENCODE_ID_83850',7.9324557035517405,-0.10438340784791578,0.011330178929275968,1.583928761150856e-34,0.46099469709160823,0.007642440725992513
'ENCODE_ID_9718',6.826586098734832,-0.3442582016445337,-0.014645369085308805,1.4436507717509017e-26,0.06606174194453657,0.00809045817266752
'ENCODE_ID_55167',7.722271101479616,-0.2759883415114751,-0.009444515916542384,5.255466658190576e-35,0.04410330701364439,0.018255738385830136
'ENCODE_ID_83939',7.136817696679388,0.30913857379611775,0.009148681704527001,2.2512764741373004e-35,0.013929918570298815,0.012049667902233127
'ENCODE_ID_51208',4.496937031486194,-0.025607165737846327,0.01672404011979045,8.051110271567972e-20,0.8846405095442053,0.0018954808271941786
'ENCODE_ID_64770',9.83498175360212,0.11945005490113125,-0.009459412035310328,6.308245819511843e-38,0.4191546300438104,0.03056693735152135
'ENCODE_ID_105374187',5.89346024976483,0.17422505398367089,0.013062309006927873,1.8932189656418478e-29,0.20510941029910695,0.0017045595933504521
'ENCODE_ID_23043',10.549022370069224,-0.24409527341662784,-0.00906173516869364,4.921762685682055e-41,0.07590591883319618,0.02427400484301045
'ENCODE_ID_110599583',6.830196241658209,-0.34973942935376534,-0.014877886620539937,5.144735215376688e-27,0.056292167417245687,0.0060311596104
'ENCODE_ID_109617007',4.71329332446024,-0.04652667206137018,0.012056765602381421,4.440325061943659e-22,0.774648259601344,0.013132882188595181
'ENCODE_ID_200879',4.931106897337018,-0.1527461815431072,0.0124277876841158,1.4952179528951532e-21,0.38495580374334504,0.01740436889500771
'ENCODE_ID_1739',9.872137683997186,-0.03943233517228617,-0.009073357799791994,4.726398991492575e-40,0.7668126323905515,0.021885612978939505
'ENCODE_ID_105374296',4.521339875102819,0.04393678624691738,0.012177503974600858,2.144167029393456e-21,0.7862938301905187,0.012076772378806729
'ENCODE_ID_5158',8.939523907993811,-0.7837814536550243,-0.018791770757752187,7.633484755801849e-25,0.004539923915911189,0.01723055434797869
'ENCODE_ID_57537',8.046433149871655,-0.5467262024013897,-0.018334130828464593,8.395576420103444e-24,0.034142215519893916,0.014891140297525099
'ENCODE_ID_105374407',6.760900759742205,0.10364895826086185,0.011457038334849557,1.932262901280928e-29,0.5086401799591338,0.01432288097738094
'ENCODE_ID_317648',6.4173764117519525,-0.19298424298606104,-0.00853289747109368,3.74413653621428e-36,0.07133428149104537,0.00703886683914281
'ENCODE_ID_105374421',6.94356825531395,-0.011891021227551257,0.005418985793976849,2.1688801432566293e-41,0.8918197145974187,0.036490141216547624
'ENCODE_ID_105374493',5.3469567352946825,0.20277187028061472,0.015152404853576013,8.396924491645652e-20,0.3367773145621309,0.01575184491397979
'ENCODE_ID_2044',8.429713862355428,0.229512184449437,-0.007968285144874365,9.073780309253913e-40,0.05080494165382787,0.020200521098548054
'ENCODE_ID_2560',9.285373752628015,0.34803652687685926,0.011186109744899836,7.192141542853409e-40,0.007929092958391414,0.00345645963596416
'ENCODE_ID_10699',4.922679029768732,0.0014114587275668167,0.014825603854616235,7.912308266629059e-21,0.9938188532840329,0.0068942117262142805
'ENCODE_ID_105377303',6.672518363793233,0.3442440224544441,0.011046138219445868,1.7171757791353028e-28,0.038226802864988835,0.02226407458491155
'ENCODE_ID_105377289',4.753220550286479,0.07812910008887908,0.013117796866620846,5.425081945332691e-20,0.6725315371347635,0.01731524421835963
'ENCODE_ID_5593',7.639985022596722,-0.021279159485614985,-0.016248947824540852,7.282222223662715e-30,0.9020674885990961,0.0020529464048785174
'ENCODE_ID_101929595',5.813469545016628,0.07436325428639601,-0.011645962451704035,9.73558576979649e-28,0.6137847181912253,0.008456890154959729
'ENCODE_ID_4258',4.859665802921343,0.20297409790449117,0.012264011945531998,1.2815116197908097e-24,0.1672609600510543,0.005242370617082721
'ENCODE_ID_104384744',4.572469230916447,0.07565087788042896,0.014737988147267341,1.9587064240497705e-20,0.6624582033230821,0.0048509962110930725
'ENCODE_ID_79966',9.046603408019783,0.39812321767800773,-0.010682169355654598,1.3322086318226914e-33,0.02188320778898203,0.03290937977279833
'ENCODE_ID_5783',8.67431441303045,-0.05179550934684107,-0.011678648251345819,1.4962031050541755e-33,0.7497119008770766,0.01597769731852529
'ENCODE_ID_7222',6.467851107470823,-0.10369957698432852,-0.01076516144836206,1.656154891380671e-27,0.5323533094626816,0.028754575227014613
'ENCODE_ID_57117',5.830188614805863,-0.21013059851574642,-0.009776313179256362,3.0390282966105513e-29,0.12789998545454054,0.016324377613894984
'ENCODE_ID_345062',5.131455787433675,0.03794631738634041,0.01154175074986104,8.249545010482809e-23,0.8231477087633785,0.02238495004037664
'ENCODE_ID_8467',9.354348150998527,0.07042068414148739,-0.008375839995622705,1.2091028847722646e-40,0.5653031674078297,0.021445600420340313
'ENCODE_ID_2549',8.689458073288474,0.15331584817588473,0.010782361555665459,6.518596292640824e-34,0.3390541403016307,0.023202292902554066
'ENCODE_ID_79658',7.471275106796879,-0.05967465623351714,-0.011829512073923062,1.2071949676578513e-31,0.6989222679023501,0.010513436844698612
'ENCODE_ID_729830',6.52672982345466,-0.06797102598714866,0.00816211772052296,1.1981189505855536e-34,0.5567462892644628,0.017816628207842074
'ENCODE_ID_112267917',5.997927984342016,0.09182453499733889,0.010036826101674227,3.66938158308993e-27,0.5581964116348124,0.03077583099670776
'ENCODE_ID_8470',10.391098203786152,-0.1472779635715784,-0.005142224890578275,1.2240729787616186e-52,0.05392716779435525,0.02117700322042106
'ENCODE_ID_7097',5.850328454775951,0.27906707226399075,0.013061146857327682,7.073093396801756e-24,0.13071536370487385,0.01648382271137517
'ENCODE_ID_56884',7.650783125151742,0.10256362855462986,-0.010016019826501783,2.014897486094141e-32,0.4999251658815548,0.02631915926875329
'ENCODE_ID_112268474',6.241362663203527,0.23253292114152913,0.012470733799922869,9.887380448238276e-27,0.16731886815812919,0.012460998704020763
'ENCODE_ID_4886',8.115447426828558,0.02512793900282584,-0.009673209474953176,1.0019839823648404e-34,0.8605176392199332,0.02303446622279807
'ENCODE_ID_2195',8.415104455810955,-0.4248467213562903,-0.01791875659841006,1.4510486800754123e-28,0.04160520682346051,0.003728335903667236
'ENCODE_ID_11336',7.904537286678883,-0.587360769941075,-0.0203329076149751,5.120997372568758e-22,0.035905021769930705,0.012956938923093467
'ENCODE_ID_646241',5.041877131347837,0.18446705840541627,0.01146482134011227,7.579643592940979e-23,0.2708293955943723,0.02077964426903684
