,baseMean_Diagnosis,log2FoldChange_Diagnosis,lfcSE_Diagnosis,stat_Diagnosis,pvalue_Diagnosis,padj_Diagnosis,baseMean_Age,log2FoldChange_Age,lfcSE_Age,stat_Age,pvalue_Age,padj_Age,log2(Schizophrenia/Control) quantiles,log2(Old/Young) quantiles
ENSG00000262503,15.652301850032302,0.24437107029768623,0.049898882149026574,4.897325546649613,9.71498166849514e-07,1.6927466874595234e-05,15.652301850032302,0.1795189083638617,0.0551003611558708,3.2580350581737414,0.0011218654576653395,0.006694208170464609,Q6,Q5
ENSG00000262700,22.724626932823377,0.2653165325482513,0.05629828323093126,4.712693128846277,2.4446420358927668e-06,3.340073464568083e-05,22.724626932823377,0.26135540382601663,0.062375630160969316,4.190024263507259,2.7892462731014167e-05,0.00042238745354814677,Q7,Q7
ENSG00000262732,24.528837964270167,0.1976120118654854,0.0498955340410946,3.960515017290518,7.478828927619432e-05,0.0004750506142025646,24.528837964270167,0.2223500184852256,0.055199093693319566,4.028146181540212,5.621838640348119e-05,0.0007189689167658821,Q5,Q6
ENSG00000262803,17.388885210440858,0.21753859851595664,0.04616893782629381,4.7117956088663915,2.4554358858549983e-06,3.352410848467977e-05,17.388885210440858,0.15821204408950842,0.05091442755844945,3.1074108396462274,0.0018873390708414749,0.009784200502275568,Q6,Q3
ENSG00000263089,3.01639289828826,0.9602992729793676,0.14444330062780916,6.648278381936147,2.965410511090959e-11,1.3452959829376989e-08,3.01639289828826,0.8191269480640608,0.16359070096479209,5.007173043658227,5.523526595849782e-07,2.2870288225299587e-05,Q10,Q9
ENSG00000263096,5.0248063365913485,0.6019475008912426,0.1166138529506721,5.161886736954551,2.444732004015481e-07,6.2157933514526146e-06,5.0248063365913485,0.5895751136149369,0.13058878222854614,4.514745474715502,6.339285540151304e-06,0.00014140624611569898,Q9,Q8
ENSG00000263120,10.763445573624184,0.22708706830961092,0.06892994502312105,3.294461764526861,0.0009861035923302874,0.0037414451531717135,10.763445573624184,0.210327837355961,0.07622944040039821,2.7591418256674265,0.005795337746631097,0.022793955685994204,Q6,Q6
ENSG00000263165,13.012533734977943,0.17014639155678019,0.06755628617331282,2.518587110017812,0.011782673411633247,0.028897884654547665,13.012533734977943,0.2359914919154767,0.07474812549406022,3.157155986931465,0.0015931609698860588,0.008653336448323678,Q4,Q6
ENSG00000263219,7.886268411448712,0.45193825288175504,0.12893484982866552,3.505167559293016,0.0004563199924192643,0.002007026488296255,7.886268411448712,0.6206706630391462,0.14367505685319648,4.319961144496583,1.5605667593162318e-05,0.00027487091066547714,Q8,Q8
ENSG00000263424,7.578648472543689,0.48129098449892566,0.16455327037360915,2.924833905799508,0.003446401180648512,0.010451388932220357,7.578648472543689,0.47893120594434835,0.18276991865387637,2.6204049849763975,0.008782539999716068,0.030974344952668823,Q8,Q8
ENSG00000263878,72.39693130298296,-0.16464504304714894,0.03809471605085714,-4.321991607112777,1.5462707220505752e-05,0.0001370656486593805,72.39693130298296,-0.24697495628765714,0.04180674012789953,-5.907539203776367,3.47255708050494e-09,4.307070267783383e-07,Q2,Q1
ENSG00000264112,617.7304510244322,0.17622500918358536,0.027054911886927418,6.513604994172426,7.336827956890526e-11,2.6814695253981626e-08,617.7304510244322,0.14121937374334328,0.029965042943718836,4.712803983247592,2.4433120316911294e-06,6.82869781798381e-05,Q4,Q3
ENSG00000264198,25.522917680048586,0.26289116567739507,0.05405149740327335,4.863716609291835,1.1520182328641998e-06,1.930697223596483e-05,25.522917680048586,0.4345652140932141,0.060125110924398206,7.2276825341684585,4.913055553642459e-13,4.2442100362261327e-10,Q7,Q8
ENSG00000264315,21.5841819418857,0.7413486021591845,0.19489066097911326,3.8039206108425896,0.0001424238414845564,0.0007893744845185169,21.5841819418857,1.286164483209633,0.21669958350203575,5.9352420638018915,2.934122732576618e-09,3.793401532831199e-07,Q10,Q10
ENSG00000264546,17.339851108424366,0.1514072974808626,0.04643997501749741,3.2602794774074737,0.0011130248139510298,0.004129033103482202,17.339851108424366,0.17003035361830665,0.05120211475349331,3.3207681838318246,0.0008977006631901854,0.005651143128164781,Q3,Q4
ENSG00000264630,2.899054755565149,1.1602522336238894,0.15185150496412328,7.640702895226576,2.160390600384365e-14,8.211644672060971e-11,2.899054755565149,1.2032423345613212,0.17461388019287807,6.890874501111955,5.545044228436207e-12,3.1944755387280426e-09,Q10,Q10
