gene,coef_Intercept,coef_diagnosis,coef_age,coef_Hemisphere_Var,pval_Intercept,pval_diagnosis,pval_age,pval_Hemisphere_Var
'ENCODE_ID_494470',9.042386955118715,-0.24573026132107,-0.009531423988212643,6.798334926753021e-07,0.0,0.05315196393133182,0.009465780593134935,nan
'ENCODE_ID_107987258',7.6787280226545525,-0.014025875612771056,0.012332607165059947,6.891121766950042e-07,3.5212160120982096e-234,0.9201897078424008,0.002302005234625307,nan
'ENCODE_ID_100526842',6.4194809855546024,0.17262928980495199,-0.006266155710778655,0.02005152093239168,0.0,0.06643991075785267,0.02580057562185796,0.8036872564218376
'ENCODE_ID_83876',4.339079558052417,-0.0664685971273037,0.013059526481732973,1.0938563411986938e-06,6.612201182987661e-65,0.662878862000269,0.0028485698524400665,nan
'ENCODE_ID_6752',7.314107552541791,0.12206184594767186,0.008717855088632515,5.946773468428142e-07,5.008104762451651e-227,0.3670984816954246,0.026047965186830342,nan
'ENCODE_ID_284440',6.249427591865879,-0.1415247122965362,-0.012542627560660958,0.08425561439426905,1.2835057705959766e-107,0.35550156985959136,0.005927518227915764,0.6434572365014801
'ENCODE_ID_163115',-6.438149754332733e-17,0.21868629829156305,0.013039064136595033,0.0,nan,0.20590806652750804,0.01069987383338692,nan
'ENCODE_ID_101927667',5.950989450099987,0.03551656811883986,0.008418442189630986,9.357296250684303e-07,2.252989701520392e-190,0.7685805371789199,0.015399322352550699,nan
'ENCODE_ID_54938',6.530884470574136,-0.5425689755422446,-0.01934763165257214,0.046327742859531014,4.215220217763096e-53,0.022566203572819663,0.006431645096170037,0.7169721915777179
'ENCODE_ID_28513',5.273907484572343,0.16739049477701298,-0.012789728379346775,1.9814133035551495e-06,7.49187560687199e-68,0.36300779823686447,0.012574873216499376,nan
'ENCODE_ID_84467',5.619188109324027,-0.1769628327810922,-0.013518711432672685,1.3885864795806658e-06,5.492722813182077e-57,0.403341018700042,0.025352080658014725,nan
'ENCODE_ID_1088',5.907624695216404,0.022791517383333158,-0.011732068138672771,1.3171211317224034e-06,1.526073165456722e-93,0.8948875822670714,0.017372181085075458,nan
'ENCODE_ID_112268253',4.823831873180018,-0.14514554781619668,0.012508298291057485,5.950899217772964e-07,8.355652466463738e-52,0.44394838518557533,0.022651246962257524,nan
'ENCODE_ID_105372471',4.4288144296776616e-17,-0.1521949836605354,0.011127163189355336,0.0,nan,0.3606576343063598,0.023713038052823744,nan
'ENCODE_ID_284390',6.246923468365104,-0.4196057730245042,-0.010673947349196264,0.0263327425390605,6.117958498064816e-121,0.005532127878678257,0.019517266485888248,0.8421305874116858
'ENCODE_ID_6795',6.612110944453726e-17,-0.22473816951581188,-0.011760095544702299,0.0,nan,0.1651119134129404,0.01396524321265788,nan
